,Negative_score,Positive_score,Neu_score,Compund_score
0,0.0,0.0,1.0,0.0
1,0.0,0.182,0.818,0.7845
2,0.0,0.182,0.818,0.7845
3,0.0,0.182,0.818,0.7845
4,0.046,0.0,0.954,-0.1531
5,0.228,0.0,0.772,-0.7717
6,0.139,0.153,0.708,0.128
7,0.133,0.088,0.779,-0.34
8,0.155,0.0,0.845,-0.296
9,0.0,0.0,1.0,0.0
10,0.0,0.0,1.0,0.0
11,0.0,0.0,1.0,0.0
12,0.0,0.0,1.0,0.0
13,0.0,0.0,1.0,0.0
14,0.0,0.196,0.804,0.8074
15,0.07,0.055,0.875,-0.1759
16,0.07,0.055,0.875,-0.1759
17,0.046,0.0,0.954,-0.1531
18,0.046,0.0,0.954,-0.1531
19,0.065,0.0,0.935,-0.3182
20,0.046,0.0,0.954,-0.1531
21,0.046,0.0,0.954,-0.1531
22,0.205,0.153,0.642,-0.4294
23,0.0,0.0,1.0,0.0
24,0.0,0.0,1.0,0.0
25,0.115,0.0,0.885,-0.296
26,0.0,0.0,1.0,0.0
27,0.205,0.153,0.642,-0.4294
28,0.0,0.0,1.0,0.0
29,0.0,0.068,0.932,0.34
30,0.069,0.072,0.86,0.0258
31,0.243,0.0,0.757,-0.8906
32,0.102,0.111,0.787,-0.1779
33,0.0,0.196,0.804,0.8074
34,0.091,0.0,0.909,-0.3595
35,0.102,0.0,0.898,-0.3595
36,0.061,0.153,0.785,0.4003
37,0.0,0.196,0.804,0.8074
38,0.0,0.196,0.804,0.8074
39,0.155,0.054,0.792,-0.6546
40,0.0,0.0,1.0,0.0
41,0.0,0.0,1.0,0.0
42,0.0,0.196,0.804,0.8074
43,0.0,0.196,0.804,0.8074
44,0.0,0.196,0.804,0.8074
45,0.0,0.196,0.804,0.8074
46,0.155,0.054,0.792,-0.6546
47,0.0,0.196,0.804,0.8074
48,0.0,0.196,0.804,0.8074
49,0.155,0.054,0.792,-0.6546
50,0.0,0.196,0.804,0.8074
51,0.0,0.196,0.804,0.8074
52,0.155,0.054,0.792,-0.6546
53,0.0,0.196,0.804,0.8074
54,0.0,0.196,0.804,0.8074
55,0.155,0.054,0.792,-0.6546
56,0.0,0.196,0.804,0.8074
57,0.0,0.196,0.804,0.8074
58,0.155,0.054,0.792,-0.6546
59,0.0,0.196,0.804,0.8074
60,0.0,0.196,0.804,0.8074
61,0.0,0.196,0.804,0.8074
62,0.0,0.196,0.804,0.8074
63,0.0,0.196,0.804,0.8074
64,0.0,0.196,0.804,0.8074
65,0.0,0.196,0.804,0.8074
66,0.0,0.196,0.804,0.8074
67,0.095,0.0,0.905,-0.2942
68,0.135,0.127,0.737,-0.1027
69,0.135,0.127,0.737,-0.1027
70,0.055,0.136,0.809,0.4767
71,0.0,0.245,0.755,0.8442
72,0.0,0.245,0.755,0.8442
73,0.0,0.245,0.755,0.8442
74,0.0,0.0,1.0,0.0
75,0.0,0.055,0.945,0.128
76,0.0,0.0,1.0,0.0
77,0.0,0.197,0.803,0.747
78,0.0,0.0,1.0,0.0
79,0.0,0.0,1.0,0.0
80,0.128,0.0,0.872,-0.296
81,0.0,0.08,0.92,0.3818
82,0.0,0.067,0.933,0.3612
83,0.0,0.0,1.0,0.0
84,0.0,0.0,1.0,0.0
85,0.0,0.0,1.0,0.0
86,0.0,0.0,1.0,0.0
87,0.0,0.0,1.0,0.0
88,0.0,0.0,1.0,0.0
89,0.0,0.0,1.0,0.0
90,0.0,0.0,1.0,0.0
91,0.0,0.0,1.0,0.0
92,0.0,0.0,1.0,0.0
93,0.0,0.0,1.0,0.0
94,0.0,0.0,1.0,0.0
95,0.0,0.0,1.0,0.0
96,0.0,0.263,0.737,0.8658
97,0.0,0.0,1.0,0.0
98,0.0,0.0,1.0,0.0
99,0.0,0.0,1.0,0.0
100,0.0,0.0,1.0,0.0
101,0.0,0.0,1.0,0.0
102,0.0,0.0,1.0,0.0
103,0.0,0.263,0.737,0.8658
104,0.0,0.0,1.0,0.0
105,0.0,0.0,1.0,0.0
106,0.0,0.0,1.0,0.0
107,0.0,0.0,1.0,0.0
108,0.0,0.0,1.0,0.0
109,0.0,0.0,1.0,0.0
110,0.0,0.0,1.0,0.0
111,0.0,0.0,1.0,0.0
112,0.0,0.0,1.0,0.0
113,0.0,0.0,1.0,0.0
114,0.0,0.0,1.0,0.0
115,0.0,0.0,1.0,0.0
116,0.0,0.0,1.0,0.0
117,0.0,0.0,1.0,0.0
118,0.0,0.0,1.0,0.0
119,0.0,0.0,1.0,0.0
120,0.0,0.0,1.0,0.0
121,0.0,0.08,0.92,0.3818
122,0.0,0.263,0.737,0.8658
123,0.114,0.0,0.886,-0.6124
124,0.0,0.08,0.92,0.3818
125,0.0,0.08,0.92,0.3818
126,0.0,0.263,0.737,0.8658
127,0.0,0.08,0.92,0.3818
128,0.0,0.08,0.92,0.3818
129,0.0,0.08,0.92,0.3818
130,0.0,0.263,0.737,0.8658
131,0.102,0.0,0.898,-0.6249
132,0.0,0.263,0.737,0.8658
133,0.0,0.263,0.737,0.8658
134,0.0,0.263,0.737,0.8658
135,0.0,0.08,0.92,0.3818
136,0.0,0.263,0.737,0.8658
137,0.102,0.0,0.898,-0.6249
138,0.102,0.0,0.898,-0.6249
139,0.095,0.056,0.85,-0.1531
140,0.0,0.08,0.92,0.3818
141,0.0,0.263,0.737,0.8658
142,0.0,0.08,0.92,0.3818
143,0.0,0.263,0.737,0.8658
